
0   Anarchy,
1   Corporation,
2   ParticipatingDemocracy,
3   SelfPerpetuatingOligarchy,
4   RepresentativeDemocracy,
5   FeudalTechnocracy,
6   Captive,
7   Balkanization,
8   CivilService,
9   ImpersonalBureaucracy,
A   CharismaticLeader,
B   NonCharismaticLeader,
C   CharismaticOligarchy,
D   TheocraticDictatorship,
E   TheocraticOligarchy,
F   TotalitarianOligarchy;
G   SmallStationOfFacility
H   SplitControl
J   SingleClan
K   SingleMultiWorldClan
L   MajorClan
M   VassalClan
N   MajorClanVassal
P   Family
Q   Krurruna
R   Steppelord
S   SeptGoverning
T   UnsupervisedAnarchy
U   SupervisedAnarchy
W   Committee
X   DroyneHierarchy
